67996.1953 23097.0000 23180.0000 23058.0000 32928.0000 57540.0000 56403.0000 26291.0000 23105.0000 23084.0000 23179.0000 56643.0000 34540.0000 65113.0000 54024.0000 4619.0000 23747.0000 37956.0000 21301.0000 
67997.1875 23102.0000 23175.0000 23044.0000 32930.0000 57537.0000 56405.0000 26295.0000 23110.0000 23083.0000 23149.0000 56674.0000 34545.0000 65120.0000 53867.0000 4614.0000 23758.0000 37977.0000 21317.0000 
67998.1797 23099.0000 23158.0000 23057.0000 32920.0000 57518.0000 56413.0000 26277.0000 23107.0000 23086.0000 23167.0000 56672.0000 34546.0000 65099.0000 53892.0000 4616.0000 23736.0000 37956.0000 21300.0000 
67999.1719 23110.0000 23177.0000 23052.0000 32912.0000 57521.0000 56406.0000 26299.0000 23126.0000 23088.0000 23156.0000 56659.0000 34538.0000 65120.0000 53867.0000 4610.0000 23750.0000 37955.0000 21315.0000 
68000.1562 23088.0000 23174.0000 23071.0000 32904.0000 57534.0000 56409.0000 26293.0000 23108.0000 23078.0000 23169.0000 56660.0000 34542.0000 65091.0000 53847.0000 4609.0000 23712.0000 37886.0000 21302.0000 
68001.1484 23107.0000 23168.0000 23044.0000 32919.0000 57523.0000 56418.0000 26303.0000 23103.0000 23083.0000 23158.0000 56665.0000 34529.0000 65122.0000 53839.0000 4614.0000 23726.0000 37944.0000 21313.0000 
68002.1406 23107.0000 23172.0000 23049.0000 32924.0000 57522.0000 56448.0000 26293.0000 23120.0000 23086.0000 23163.0000 56661.0000 34546.0000 65091.0000 53868.0000 4604.0000 23717.0000 37934.0000 21302.0000 
68003.1250 23107.0000 23171.0000 23052.0000 32899.0000 57522.0000 56420.0000 26303.0000 23122.0000 23081.0000 23159.0000 56659.0000 34538.0000 65120.0000 53865.0000 4616.0000 23718.0000 37944.0000 21313.0000 
68004.1172 23096.0000 23184.0000 23057.0000 32924.0000 57522.0000 56387.0000 26293.0000 23112.0000 23086.0000 23161.0000 56653.0000 34546.0000 65091.0000 53876.0000 4605.0000 23776.0000 37926.0000 21318.0000 
68005.1094 23095.0000 23176.0000 23062.0000 32927.0000 57540.0000 56418.0000 26297.0000 23103.0000 23077.0000 23166.0000 56669.0000 34532.0000 65122.0000 53859.0000 4615.0000 23761.0000 37911.0000 21314.0000 
0.0000 1125865751543050022158336.0000 0.0000 0.0000 0.0000 0.0000 0.0000 217331184.0000 0.0000 3716776198144.0000 0.0000 0.0000 0.0000 217331184.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
68025.9922 23099.0000 23171.0000 23031.0000 32915.0000 57523.0000 56416.0000 26303.0000 23122.0000 23089.0000 23156.0000 56659.0000 34536.0000 65120.0000 53865.0000 4614.0000 23754.0000 37953.0000 21315.0000 
68026.9766 23104.0000 23166.0000 23069.0000 32908.0000 57530.0000 56387.0000 26293.0000 23108.0000 23086.0000 23161.0000 56653.0000 34546.0000 65091.0000 53847.0000 4632.0000 23744.0000 37922.0000 21302.0000 
68027.9688 23103.0000 23168.0000 23062.0000 32927.0000 57536.0000 56432.0000 26301.0000 23115.0000 23072.0000 23174.0000 56665.0000 34532.0000 65102.0000 53881.0000 4615.0000 23735.0000 37937.0000 21315.0000 
68028.9609 23116.0000 23159.0000 23049.0000 32919.0000 57523.0000 56403.0000 26294.0000 23108.0000 23079.0000 23168.0000 56672.0000 34545.0000 65063.0000 53870.0000 4612.0000 23765.0000 37958.0000 21319.0000 
68029.9453 23101.0000 23176.0000 23038.0000 32921.0000 57517.0000 56403.0000 26297.0000 23115.0000 23077.0000 23167.0000 56643.0000 34519.0000 65079.0000 53899.0000 4623.0000 23773.0000 37964.0000 21316.0000 
68030.9375 23102.0000 23167.0000 23040.0000 32910.0000 57529.0000 56405.0000 26299.0000 23118.0000 23081.0000 23164.0000 56674.0000 34545.0000 65101.0000 53873.0000 4614.0000 23778.0000 37929.0000 21313.0000 
68031.9297 23104.0000 23180.0000 23055.0000 32904.0000 57518.0000 56413.0000 26277.0000 23111.0000 23078.0000 23167.0000 56664.0000 34542.0000 65099.0000 53861.0000 4616.0000 23787.0000 37942.0000 21324.0000 
68032.9219 23088.0000 23184.0000 23052.0000 32915.0000 57523.0000 56416.0000 26307.0000 23103.0000 23091.0000 23158.0000 56667.0000 34533.0000 65094.0000 53855.0000 4618.0000 23750.0000 37936.0000 21313.0000 
68033.9062 23089.0000 23174.0000 23049.0000 32908.0000 57518.0000 56409.0000 26300.0000 23104.0000 23086.0000 23157.0000 56668.0000 34542.0000 65091.0000 53845.0000 4613.0000 23731.0000 37990.0000 21314.0000 
68034.8984 23091.0000 23176.0000 23044.0000 32895.0000 57511.0000 56418.0000 26303.0000 23123.0000 23080.0000 23170.0000 56671.0000 34532.0000 65094.0000 53881.0000 4623.0000 23767.0000 37936.0000 21315.0000 
68035.8906 23108.0000 23166.0000 23056.0000 32928.0000 57523.0000 56387.0000 26294.0000 23108.0000 23079.0000 23153.0000 56660.0000 34535.0000 65091.0000 53862.0000 4612.0000 23748.0000 37968.0000 21310.0000 
68036.8750 23113.0000 23168.0000 23062.0000 32923.0000 57509.0000 56407.0000 26296.0000 23115.0000 23069.0000 23166.0000 56643.0000 34519.0000 65107.0000 53896.0000 4611.0000 23711.0000 37924.0000 21285.0000 
